activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,362855,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,C=CCc1ccc(S(=O)(=O)N(Cc2ccccc2)c2ccnn2-c2ccccc2)cc1,,,CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL332690,,CHEMBL332690,4.70,0,http://www.openphacts.org/units/Nanomolar,229510,=,1,1,=,,IC50,nM,,20000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,20.0
,364483,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,NCCc1ccc(S(=O)(=O)N(CCCO)c2ccnn2-c2ccccc2)cc1,,,CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL331431,,CHEMBL331431,5.00,0,http://www.openphacts.org/units/Nanomolar,229518,=,1,1,=,,IC50,nM,,10000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,10.0
,364487,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,O=[N+]([O-])c1cccc(-c2ccc(S(=O)(=O)N(CCCO)c3ccnn3-c3ccccc3)cc2)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL121522,,CHEMBL121522,,0,http://www.openphacts.org/units/Nanomolar,229513,=,1,1,=,,IC50,nM,,200000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,200.0
,364491,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,C=CCc1ccc(S(=O)(=O)N(C)c2ccnn2-c2ccccc2)cc1,,,CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL333704,,CHEMBL333704,4.70,0,http://www.openphacts.org/units/Nanomolar,229511,=,1,1,=,,IC50,nM,,20000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,20.0
,365961,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,Nc1cccc(-c2ccc(S(=O)(=O)N(CCCO)c3ccnn3-c3ccccc3)cc2)c1,,,CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL121503,,CHEMBL121503,4.40,0,http://www.openphacts.org/units/Nanomolar,229515,=,1,1,=,,IC50,nM,,40000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,40.0
,367387,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,O=[N+]([O-])c1cccc(-c2ccc(S(=O)(=O)N(CCO)c3ccnn3-c3ccccc3)cc2)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL121048,,CHEMBL121048,,0,http://www.openphacts.org/units/Nanomolar,229514,=,1,1,=,,IC50,nM,,165000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,165.0
,367391,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,C=CCc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL332994,,CHEMBL332994,,0,http://www.openphacts.org/units/Nanomolar,229504,=,1,1,=,,IC50,nM,,450000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,450.0
,368787,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,CCCN(c1ccnn1-c1ccccc1)S(=O)(=O)c1ccc(C)cc1,,,CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL121040,,CHEMBL121040,5.00,0,http://www.openphacts.org/units/Nanomolar,229508,=,1,1,=,,IC50,nM,,10000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,10.0
,368791,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,Cc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,,,CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL432386,,CHEMBL432386,4.00,0,http://www.openphacts.org/units/Nanomolar,229506,=,1,1,=,,IC50,nM,,100000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,100.0
,371566,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,CC(C)N(c1ccnn1-c1ccccc1)S(=O)(=O)c1ccc(N)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL121323,,CHEMBL121323,,0,http://www.openphacts.org/units/Nanomolar,229521,=,1,1,=,,IC50,nM,,130000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,130.0
,374468,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,CN(c1ccnn1-c1ccccc1)S(=O)(=O)c1ccc(N)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL443542,,CHEMBL443542,,0,http://www.openphacts.org/units/Nanomolar,229500,=,1,1,=,,IC50,nM,,200000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,200.0
,375840,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,CCN(c1ccnn1-c1ccccc1)S(=O)(=O)c1ccc(N)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL330871,,CHEMBL330871,,0,http://www.openphacts.org/units/Nanomolar,229522,=,1,1,=,,IC50,nM,,225000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,225.0
,375844,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,CCCCN(c1ccnn1-c1ccccc1)S(=O)(=O)c1ccc(N)cc1,,,CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL331485,,CHEMBL331485,4.22,0,http://www.openphacts.org/units/Nanomolar,229502,=,1,1,=,,IC50,nM,,60000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,60.0
,375848,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,Cc1ccc(S(=O)(=O)N(C)c2ccnn2-c2ccccc2)cc1,,,CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL332958,,CHEMBL332958,4.70,0,http://www.openphacts.org/units/Nanomolar,229509,=,1,1,=,,IC50,nM,,20000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,20.0
,377210,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,Nc1ccc(S(=O)(=O)N(CCCO)c2ccnn2-c2ccccc2)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL120825,,CHEMBL120825,,0,http://www.openphacts.org/units/Nanomolar,229519,=,1,1,=,,IC50,nM,,150000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,150.0
,378602,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL1109,SULFAPHENAZOLE,CHEMBL1109,,0,http://www.openphacts.org/units/Nanomolar,229507,>,1,1,>,,IC50,nM,,500000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,500.0
,380038,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,CCCN(c1ccnn1-c1ccccc1)S(=O)(=O)c1ccc(N)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL120183,,CHEMBL120183,,0,http://www.openphacts.org/units/Nanomolar,229501,=,1,1,=,,IC50,nM,,250000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,250.0
,474356,[],CHEMBL664322,Inhibition of cytochrome P450 CYP2C19,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(-n2ccnc2)cc1,,,CHEMBL1145921,J. Med. Chem.,2003.0,"{'bei': '37.71', 'le': '0.70', 'lle': '5.10', 'sei': '30.15'}",CHEMBL112532,,CHEMBL112532,8.15,1,http://www.openphacts.org/units/Nanomolar,295388,=,1,1,=,,IC50,nM,,7.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,nM,UO_0000065,,7.0
,474362,[],CHEMBL664322,Inhibition of cytochrome P450 CYP2C19,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(-c2cccnc2)cc1,,,CHEMBL1145921,J. Med. Chem.,2003.0,"{'bei': '22.32', 'le': '0.41', 'lle': '1.14', 'sei': '22.94'}",CHEMBL151646,,CHEMBL151646,5.07,0,http://www.openphacts.org/units/Nanomolar,295406,=,1,1,=,,IC50,nM,,8440.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,nM,UO_0000065,,8440.0
,475462,[],CHEMBL664322,Inhibition of cytochrome P450 CYP2C19,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(-c2cc(C)no2)cc1,,,CHEMBL1145921,J. Med. Chem.,2003.0,"{'bei': '22.56', 'le': '0.42', 'lle': '1.39', 'sei': '14.80'}",CHEMBL422858,,CHEMBL422858,5.22,0,http://www.openphacts.org/units/Nanomolar,295397,=,1,1,=,,IC50,nM,,6070.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,nM,UO_0000065,,6070.0
,475468,[],CHEMBL664322,Inhibition of cytochrome P450 CYP2C19,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(-c2[nH]ncc2C)cc1,,,CHEMBL1145921,J. Med. Chem.,2003.0,"{'bei': '23.92', 'le': '0.44', 'lle': '1.95', 'sei': '14.53'}",CHEMBL434317,,CHEMBL434317,5.51,0,http://www.openphacts.org/units/Nanomolar,295392,=,1,1,=,,IC50,nM,,3100.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,nM,UO_0000065,,3100.0
,476646,[],CHEMBL664322,Inhibition of cytochrome P450 CYP2C19,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(-c2ccno2)cc1,,,CHEMBL1145921,J. Med. Chem.,2003.0,"{'bei': '24.20', 'le': '0.45', 'lle': '1.74', 'sei': '14.91'}",CHEMBL150681,,CHEMBL150681,5.26,0,http://www.openphacts.org/units/Nanomolar,295400,=,1,1,=,,IC50,nM,,5510.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,nM,UO_0000065,,5510.0
,477876,[],CHEMBL664322,Inhibition of cytochrome P450 CYP2C19,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1cccc(-c2ccno2)c1,,,CHEMBL1145921,J. Med. Chem.,2003.0,"{'bei': '26.64', 'le': '0.49', 'lle': '2.27', 'sei': '16.41'}",CHEMBL151449,,CHEMBL151449,5.79,0,http://www.openphacts.org/units/Nanomolar,295407,=,1,1,=,,IC50,nM,,1630.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,nM,UO_0000065,,1630.0
,479207,[],CHEMBL664322,Inhibition of cytochrome P450 CYP2C19,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(-n2cncn2)cc1,,,CHEMBL1145921,J. Med. Chem.,2003.0,"{'bei': '32.99', 'le': '0.61', 'lle': '4.72', 'sei': '17.95'}",CHEMBL345544,,CHEMBL345544,7.17,0,http://www.openphacts.org/units/Nanomolar,295416,=,1,1,=,,IC50,nM,,68.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,nM,UO_0000065,,68.0
,480453,[],CHEMBL664322,Inhibition of cytochrome P450 CYP2C19,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(-c2cc[nH]c2)cc1,,,CHEMBL1145921,J. Med. Chem.,2003.0,"{'bei': '24.23', 'le': '0.45', 'lle': '1.36', 'sei': '20.85'}",CHEMBL359116,,CHEMBL359116,5.22,0,http://www.openphacts.org/units/Nanomolar,295412,=,1,1,=,,IC50,nM,,6080.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,nM,UO_0000065,,6080.0
,480459,[],CHEMBL664322,Inhibition of cytochrome P450 CYP2C19,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(-c2cc[n+](C)[nH]2)cc1,,,CHEMBL1145921,J. Med. Chem.,2003.0,"{'bei': '20.01', 'le': '0.37', 'lle': '1.94', 'sei': '16.02'}",CHEMBL347303,,CHEMBL347303,4.63,0,http://www.openphacts.org/units/Nanomolar,295394,=,1,1,=,,IC50,nM,,23500.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,nM,UO_0000065,,23500.0
,481720,[],CHEMBL664322,Inhibition of cytochrome P450 CYP2C19,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(-c2ccncc2)cc1,,,CHEMBL1145921,J. Med. Chem.,2003.0,,CHEMBL151280,,CHEMBL151280,,0,http://www.openphacts.org/units/Nanomolar,295405,<,1,1,<,,IC50,nM,,46.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,nM,UO_0000065,,46.0
,481726,[],CHEMBL664322,Inhibition of cytochrome P450 CYP2C19,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccccc1-c1ccno1,,,CHEMBL1145921,J. Med. Chem.,2003.0,"{'bei': '22.31', 'le': '0.41', 'lle': '1.33', 'sei': '13.75'}",CHEMBL150799,,CHEMBL150799,4.85,0,http://www.openphacts.org/units/Nanomolar,295408,=,1,1,=,,IC50,nM,,14200.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,nM,UO_0000065,,14200.0
,482945,[],CHEMBL664322,Inhibition of cytochrome P450 CYP2C19,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(-n2ccnc2C)cc1,,,CHEMBL1145921,J. Med. Chem.,2003.0,"{'bei': '26.54', 'le': '0.49', 'lle': '2.75', 'sei': '22.60'}",CHEMBL358214,,CHEMBL358214,6.11,0,http://www.openphacts.org/units/Nanomolar,295386,=,1,1,=,,IC50,nM,,770.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,nM,UO_0000065,,770.0
,482951,[],CHEMBL664322,Inhibition of cytochrome P450 CYP2C19,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(-c2ccnn2C)cc1,,,CHEMBL1145921,J. Med. Chem.,2003.0,"{'bei': '24.77', 'le': '0.46', 'lle': '2.44', 'sei': '21.09'}",CHEMBL151037,,CHEMBL151037,5.71,0,http://www.openphacts.org/units/Nanomolar,295395,=,1,1,=,,IC50,nM,,1970.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,nM,UO_0000065,,1970.0
,485306,[],CHEMBL664322,Inhibition of cytochrome P450 CYP2C19,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(N/C=N\O)cc1,,,CHEMBL1145921,J. Med. Chem.,2003.0,"{'bei': '31.54', 'le': '0.60', 'lle': '3.88', 'sei': '12.20'}",CHEMBL348263,,CHEMBL348263,6.57,0,http://www.openphacts.org/units/Nanomolar,295389,=,1,1,=,,IC50,nM,,270.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,nM,UO_0000065,,270.0
,485312,[],CHEMBL664322,Inhibition of cytochrome P450 CYP2C19,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(-c2cnccn2)cc1,,,CHEMBL1145921,J. Med. Chem.,2003.0,"{'bei': '22.36', 'le': '0.41', 'lle': '1.78', 'sei': '14.58'}",CHEMBL150146,,CHEMBL150146,5.11,0,http://www.openphacts.org/units/Nanomolar,295414,=,1,1,=,,IC50,nM,,7860.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,nM,UO_0000065,,7860.0
,486443,[],CHEMBL664322,Inhibition of cytochrome P450 CYP2C19,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(-c2ccns2)cc1,,,CHEMBL1145921,J. Med. Chem.,2003.0,,CHEMBL151354,,CHEMBL151354,,0,http://www.openphacts.org/units/Nanomolar,295398,<,1,1,<,,IC50,nM,,46.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,nM,UO_0000065,,46.0
,492391,[],CHEMBL664322,Inhibition of cytochrome P450 CYP2C19,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(-c2cnco2)cc1,,,CHEMBL1145921,J. Med. Chem.,2003.0,,CHEMBL358216,,CHEMBL358216,,0,http://www.openphacts.org/units/Nanomolar,295402,<,1,1,<,,IC50,nM,,46.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,nM,UO_0000065,,46.0
,492397,[],CHEMBL664322,Inhibition of cytochrome P450 CYP2C19,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(-c2ccon2)cc1,,,CHEMBL1145921,J. Med. Chem.,2003.0,"{'bei': '25.01', 'le': '0.46', 'lle': '1.91', 'sei': '15.41'}",CHEMBL433737,,CHEMBL433737,5.43,0,http://www.openphacts.org/units/Nanomolar,295399,=,1,1,=,,IC50,nM,,3680.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,nM,UO_0000065,,3680.0
,494710,[],CHEMBL664322,Inhibition of cytochrome P450 CYP2C19,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(-c2nn[nH]n2)cc1,,,CHEMBL1145921,J. Med. Chem.,2003.0,"{'bei': '29.78', 'le': '0.55', 'lle': '4.45', 'sei': '10.21'}",CHEMBL150278,,CHEMBL150278,6.50,0,http://www.openphacts.org/units/Nanomolar,295411,=,1,1,=,,IC50,nM,,316.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,nM,UO_0000065,,316.0
,495782,[],CHEMBL664322,Inhibition of cytochrome P450 CYP2C19,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(-c2ccncn2)cc1,,,CHEMBL1145921,J. Med. Chem.,2003.0,,CHEMBL151974,,CHEMBL151974,,0,http://www.openphacts.org/units/Nanomolar,295413,>,1,1,>,,IC50,nM,,46.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,nM,UO_0000065,,46.0
,498028,[],CHEMBL664322,Inhibition of cytochrome P450 CYP2C19,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(-c2cc[nH]n2)cc1,,,CHEMBL1145921,J. Med. Chem.,2003.0,"{'bei': '25.43', 'le': '0.47', 'lle': '2.24', 'sei': '14.51'}",CHEMBL149750,,CHEMBL149750,5.50,0,http://www.openphacts.org/units/Nanomolar,295415,=,1,1,=,,IC50,nM,,3160.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,nM,UO_0000065,,3160.0
